startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,The Role of Men in Feminism throughout the Years,<p> This timeline shows some of the most important moments when men have been part of the feminist struggle </p>,,,,,The Role of Men in Feminism throughout the Years,,https://www.developmentnews.in/wp-content/uploads/2018/02/Gender-Equality.png,
370,,,,,,,,,Plato,"<p> Plato was one of the first men to support gender equality, explaining in his piece Republic that women possess “natural capacities equal to men for governing and defending Greece. </p>",https://m.media-amazon.com/images/I/51B7YkNA5nL.jpg,Amazon,,,,,https://fepamic.org/wp-content/uploads/What-does-a-culture-of-equality-really-look-like.jpg,
1529,,,,,,,,,Heinrich Cornelius Agrippa,"<p> Heinrich Cornelius Agrippa wrote the Declamation on the Nobility and Preeminence of Female Sex, which defended the theological and moral superiority of women. </p>",https://upload.wikimedia.org/wikipedia/commons/e/e4/Agrippa_von_Nettesheim.jpg,Wikimedia,,,,,https://ec.europa.eu/culture/sites/default/files/styles/oe_theme_medium_no_crop/public/2020-08/header-gender.jpg?itok=SJY14Yeo,
1791,,,,,,,,,Sebastián Francisco de Miranda y Rodríguez de Espinoza,<p> Sebastián Francisco de Miranda y Rodríguez de Espinoza was a feminist who published a plea for female education. </p>,https://i.pinimg.com/originals/e2/47/ca/e247ca2b2a9b4080878729c1ebcebd8d.jpg,Pinimg,,,,,https://i1.wp.com/8list.ph/wp-content/uploads/2016/03/8list-male-feminists-headerA.jpg?ssl=1,
1848,7,19,,1948,7,20,,,Frederick Douglass,<p> Frederick Douglass attended the Seneca Falls Convention on women’s rights and spoke in favour of women’s suffrage. He said that morally he couldn’t accept his right to vote as a black man if women couldn’t do the same. </p>,https://youtu.be/OyAc7o0Zmgc,United 4 Social Change,,,,,https://europeanmovement.eu/wp-content/uploads/2015/03/Gender-equality2.png,
1907,,,,,,,,,Men's League for Women's Suffrage,<p> The Men's League for Women's Suffrage was founded by 32 men with the intention of fighting for feminine suffrage. Some of the members ended up in jail for defending these ideas. </p>,https://imgs.6sqft.com/wp-content/uploads/2018/11/03223037/Marching-Mens-League-for-Womens-Suffrage-e1541426707610-1024x715.jpg,6sqft,,,,,https://www.hospitaltimes.co.uk/wp-content/uploads/2020/03/image-1L.jpg,
1920,8,18,,,,,,,Harry Burn,"<p> When passing the amendment for women's suffrage, there was a tie between those in favour and against it. Finally, Harry Burn changed his vote to “in favour” after he received a letter from his mother. </p>",https://youtu.be/6Ovg5IlvCyg,WBIR Channel 10,,,,,https://miro.medium.com/max/4000/1*oDtfK6PATdhWJZp8TeOjXQ.jpeg,
1950,,,,,,,,,Edward Bernays," <p> “Be happy go lucky'' was an announcement designed by Edward Bernays. This ad is about a poster where a girl appears smoking and was released between the 30s and 50s. This advertisement marked a before and after as it was frowned upon for women to smoke and it was repulsive to men. There was also the thought that tobacco was a man's thing. However, after this announcement, society changed its mind and accepted that smoking was also well regarded in women.",https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2017/11/21/15112923345701.jpg ,El Mundo,,,,,https://img.money.com/2016/08/160826_ca_women_work_equality.jpg,
1965,,,,,,,,, Lyndon B. Johnson," <p> Despite the fact that since 1920 only white-skinned women could exercise their right to vote, in 1965 full female suffrage was accepted where all women could vote. Even if it was achieved thanks to the women's struggle, it should be noted that Lyndon B. Johnson was the president and who accepted this law.",https://static.politico.com/dims4/default/610eb92/2147483647/resize/1160x/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fd4%2Fde%2Faf5b4fa74cb39c56518d413c90ad%2Fwebp.net-resizeimage%20%2822%29.jpg ,político,,,,,https://w7.pngwing.com/pngs/429/894/png-transparent-canada-gender-equality-inclusive-governance-and-the-law-social-equality-canada-text-canada-public-relations.png,
1974,7,1,,1976,3,,,, Juan Domingo Perón," <p> Isabelita Perón, whose real name was María Estela Martínez de Perón, occupied the presidential chair of Argentina after Juan Domingo Perón died. At age 43 she became the first female president of a republic in the world. Until then she was the only woman to assume the reins of a republican country, not only in the American continent, but worldwide. Before she took the post, she was the standard bearer for the position of vice president of Argentina to accompany Perón in the mandate, therefore, we can deduce that, when the latter died and no other successor was appointed, she pushed Maria Estela towards presidentialism.",https://agnprensa.com/wp-content/uploads/2020/09/VAC3BNJVCRE4DH6XMJ5WF3AC7U.jpg ,AGN,,,,,https://www.fsg.org/sites/default/files/arms2.jpg,
1998,,,,,,,,, Pierre Bourdieu," <p> “Male domination” is a book by Pierre Bourdieu published in French in 1998. This is one of the few feminist books written by men to be found. It is a sociological and ethnographic analysis of how women and men have assumed reality with a predetermined structure. “The result is a denunciation, all the more effective politically as it is scientifically grounded, of the many paradoxes that the relations between the genders feed, as well as an invitation to reconsider, together with the domestic unit, the action of those superior instances - the Church, School, State - ultimately responsible for male domination ”.","https://images-na.ssl-images-amazon.com/images/I/41Wpv8jSYmL._SX301_BO1,204,203,200_.jpg ",Amazon,,,,,https://newmatilda.com/wp-content/uploads/2017/03/feminism-men-women.jpg,
2011,10,25,,2011,10,25,,,Kimmel and Kaufmann,"<p> Kimmel and Kaufman publish the book The Guy's Guide to Feminism, where they show how understanding and supporting feminism can help men live richer, fuller, and happier lives. It challenges the existing stereotypes in order to grow acceptance towards feminism. </p>
","https://images-na.ssl-images-amazon.com/images/I/41Z5rkwU7PL._SX365_BO1,204,203,200_.jpg",Survivors Hope,,,,,https://thegatewayonline.ca/wp-content/uploads/2016/05/Opinion-AdaireBeatty-UofAFeminism.jpg,
2014,9,20,,2014,9,20,,,HeForShe,"<p> HeForShe is a campaign that is led by men and aims to enlist everyone to do their part to promote gender equality. Apart from making specific anti sexism campaigns, they also use their platform to share real life examples of positive feminism actions made by men, and they allow any user to sign their compromise, where they agree to acting equally with all genders. They showcase a map where you can see where someone has signed all over the world. It is also interesting to see that they publish annual reports about the impact they are making on society. This campaign is supported by many famous people like Emma Watson and Harry Styles.They believe that “The more we work together, the better our society will be”. </p>",https://upload.wikimedia.org/wikipedia/commons/9/96/HeForShe_Logo_Badge_withTagline_Use_On_White.png,HeForShe ,,,,,https://helsinkiespana.org/wp-content/uploads/2021/03/entrada-jovenes-Helsinki-Espan%CC%83a.jpg,
2015,,,,,,,,,Justin Trudeau,"<p> The Canadian Prime Minister Justin Trudeau went viral for establishing the first gender-balanced cabinet in Canada.  When he was asked about that decision, Trudeau said, ""Because it's 2015”, which caused the audience to break into applause and made news headlines. </p>",https://www.youtube.com/watch?v=o8OOIU7xQrk,YouTube,,,,,https://www.britannica.com/explore/100women/wp-content/uploads/sites/3/2019/02/2-1.jpg,
