startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,NBA Draft history,"<p class=""lead"">In this timeline, we are going to talk about the most important players who have starred in the NBA Draft during its history, focusing alson on the most relevant Spanish players.</p>",,,,,title,,https://e00-marca.uecdn.es/assets/multimedia/imagenes/2019/06/21/15610706774044.jpg,
1959,,,,1973,,,,,Wilt Chamberlain,"<p><a href=""https://en.wikipedia.org/wiki/Wilt_Chamberlain"">Wilt Chamberlain</a> has been one of the most important basketballers of all time. He has won two NBA championships and he has been selected as the season MVP four times. Holds the record for most points scored in a game in NBA's history: <a href=""https://en.wikipedia.org/wiki/Wilt_Chamberlain%27s_100-point_game"">100 points</a>.</p>",https://upload.wikimedia.org/wikipedia/en/9/93/Wilt_Chamberlain_100-point.jpg,Wikipedia,,,,,,
1969,,,,1989,,,,,Kareem Abdul Jabbar,"<p>The NBA's all time leader in points scored, games played and minutes played. Kareem Abdul Jabbar scored 38,387 points in his eighteen NBA seasons. He was drafted by the Milwaukee Bucks, where he won an NBA title and three times the NBA MVP. However, his best years were in the Los Angeles Lakers, where he won five NBA championships and another three NBA MVP awards.</p>",https://upload.wikimedia.org/wikipedia/commons/d/de/Kareem_Abdul-Jabbar_1974.jpeg,Wikipedia,,,,,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/abdul-jabbar-1618562039.jpg?crop=1.00xw:1.00xh;0,0&resize=640:*",
1984,,,,2003,,,,,Michael Jordan,"<p>The greatest of all times. <a href=""https://en.wikipedia.org/wiki/Michael_Jordan"">Michael Jordan</a> won six NBA championships between 1991-1998 and he also won five NBA MVP awards. After the sixth championship he retired from the NBA to start playing baseball for the <a href=""https://www.mlb.com/whitesox"">Chicago White Sox</a>, but three years later he went back to the NBA and played two years in the Washington Wizards before retiring permanently from the league.</p>",https://www.mundodeportivo.com/r/GODO/MD/p7/Baloncesto/Imagenes/2020/04/23/Recortada/img_msantana_20200418-031509_imagenes_md_otras_fuentes_jordan-emotional-kexG-U48686322852I1G-980x554@MundoDeportivo-Web.jpg,Mundo Deportivo,,,,,https://e00-marca.uecdn.es/assets/multimedia/imagenes/2018/06/14/15289587333620.jpg,
1985,,,,1987,,,,,Fernando Martín,"In the year 1985 arrived the first Spanish player to the NBA, he was <a href=""https://en.wikipedia.org/wiki/Fernando_Mart%C3%ADn_(basketball)"">Fernando Martín</a> and he played two years in Portland. When he finished his career on the other side of the Atlantic he returned to Real Madrid, but he opened the way for other Spaniards to play in the NBA.</p>",https://cadenaser00.epimg.net/ser/imagenes/2014/12/03/deportes/1417622510_068328_1417623866_noticia_normal.jpg,Cadena Ser,,,,,,
1996,,,,2016,,,,,Kobe Bryant,"<p><a href=""https://en.wikipedia.org/wiki/Kobe_Bryant"">Kobe Bryant</a> is one of the biggest legends that have played for the Los Angeles Lakers and the NBA. So great is his legacy that after his death the NBA changed the format of the All Star game in his honor. He retired from the NBA after scoring one of the biggest amount of points in history: 81 points.</p>",https://www.youtube.com/watch?v=FeXZY4eVLlo,NBA ,,,,,https://cdn.businessinsider.es/sites/navi.axelspringer.es/public/styles/bi_876/public/media/image/2020/01/kobe-bryant-1852515.jpg?itok=vKyAY7MS,
2001,,,,2020,,,,,Pau Gasol,"<p>He is the most important Spanish basketball player that have played in the NBA. Pau Gasol, alongside Kobe Bryant, won both of his NBA championships with the Los Angeles Lakers. He will also be remembered for the starting jumper in the All Star game with his brother Marc Gasol.</p>",https://www.youtube.com/watch?v=WgRQArUar08,NBA ,,,,,,
2003,,,,2021,,,,,Lebron James,"<p>The King James. This is how he is known in the NBA. He is considered one of the best players in NBA history, some even rank him as <a href=""https://ca.nba.com/news/who-is-the-greatest-player-of-all-time-lebron-james-or-michael-jordan/1nlr33scwzp1r10lzt0phxyz08"">the best player of all time</a>.James has won four NBA championships in addition to breaking many other records.</p>",https://e00-marca.uecdn.es/assets/multimedia/imagenes/2021/05/14/16210142351391.jpg,Marca,,,,,http://www.basket4us.com/blog/wp-content/uploads/2014/08/95315732-e1408942154372.jpg,
2007,,,,2021,,,,,Kevin Durant,"The Portland Trail Blazers may be sorried for not picking him in the <a href=""https://en.wikipedia.org/wiki/2007_NBA_draft"">2007 NBA Draft</a>. He has been part of one of the greatest Big 3's of all time together with Stephen Curry and Klay Thompson. He has won two NBA championships.</p>",https://a.espncdn.com/photo/2021/0206/r811255_1296x729_16-9.jpg,ESPN,,,,,,
2007,,,,2021,,,,,Marc Gasol,"Pau Gasol's brother. He was involved in the trade that brought Pau Gasol to the Los Angeles Lakers. His twelve years in Memphis made him an icon of the city. However, he won his unic NBA championship with the Toronto Raptors in 2019.</p>",https://imagenes.20minutos.es/files/image_656_370/uploads/imagenes/2020/11/22/marc-gasol.jpeg,20 minutos,,,,,,
2013,,,,2021,,,,,Giannis Antetokounmpo,Antetokounmpo is the latest draft pick winning the NBA MVP award. In his eight years in the league he has been selected as an All Star five times and won two NBA MVP awards. At 26 years old he is considered one of the best players in the league.</p>,https://www.youtube.com/watch?v=d8FYUdPPUy4,ESPN,,,,,,
